ON/OFF,Warehouse,Courier/Postal Provider,Delivery Country,Service Name,Provider Ref Code,Service Level,Per item,Per kilo,CCY of Prices,"Max Weight,
kg",Tracked,"Min 
Length,
mm","Max 
Length,
mm","Min
Width,
mm","Max
Width,
mm","Max
Height,
mm",Typical Delivery Time,CN22 Required,Manifest Required,LVCR
Enabled,Jersey,Jersey Post,United Kingdom,Large Letter \ Small Packet - White Label,SPR,Standard,0.61,1.07,GBP,0.75,No,,275,,225,25,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Size 4 Jiffy Envelope - Light Blue,LU1,Standard,1.82,0,GBP,0.75,No,,275,,200,,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Size 4 Jiffy Envelope - Light Blue,LU2,Standard,1.82,0,GBP,1,No,,275,,200,,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Large Packet - Blue Label,BU1,Standard,1.97,0,GBP,0.75,No,,600,,600,600,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Large Packet - Blue Label,BU2,Standard,2.19,0,GBP,1,No,,600,,600,600,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 750g,GU1,Standard,2.95,0,GBP,0.75,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 1000g,GU2,Standard,3.12,0,GBP,1,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 1500g,GU3,Standard,3.28,0,GBP,1.5,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 2000g,GU4,Standard,3.55,0,GBP,2,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 2500g,GU5,Standard,4.55,0,GBP,2.5,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 3000g,GU6,Standard,5.11,0,GBP,3,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 3500g,GU7,Standard,5.66,0,GBP,3.5,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 4000g,GU8,Standard,6.2,0,GBP,4,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 4500g,GU9,Standard,6.75,0,GBP,4.5,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 5000g,G10,Standard,7.29,0,GBP,5,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 5500g,G11,Standard,7.84,0,GBP,5.5,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 6000g,G12,Standard,8.39,0,GBP,6,No,,610,,460,460,,,,No
Enabled,Jersey,Jersey Post,United Kingdom,Green Label up to 6500g,G13,Standard,8.93,0,GBP,6.5,No,,610,,460,460,,,,No
